Item Number,Item Name,Buy,Sell,Inventory,Asset Acct,Income Acct,Expense/COS Acct,Description,Use Desc. On Invoice,Custom List 1,Custom List 2,Custom List 3,Custom Field 1,Custom Field 2,Custom Field 3,Primary Supplier,Supplier Item Number,Tax Code When Bought,Buy Unit Measure,No. Items/Buy Unit,Reorder Quantity,Minimum Level,Selling Price,Sell Unit Measure,Tax Code When Sold,Sell Price Inclusive,Sales Tax Calc. Method,No. Items/Sell Unit,Quantity Break 1,Quantity Break 2,Quantity Break 3,Quantity Break 4,Quantity Break 5,"Price Level A, Qty Break 1","Price Level B, Qty Break 1","Price Level C, Qty Break 1","Price Level D, Qty Break 1","Price Level E, Qty Break 1","Price Level F, Qty Break 1","Price Level A, Qty Break 2","Price Level B, Qty Break 2","Price Level C, Qty Break 2","Price Level D, Qty Break 2","Price Level E, Qty Break 2","Price Level F, Qty Break 2","Price Level A, Qty Break 3","Price Level B, Qty Break 3","Price Level C, Qty Break 3","Price Level D, Qty Break 3","Price Level E, Qty Break 3","Price Level F, Qty Break 3","Price Level A, Qty Break 4","Price Level B, Qty Break 4","Price Level C, Qty Break 4","Price Level D, Qty Break 4","Price Level E, Qty Break 4","Price Level F, Qty Break 4","Price Level A, Qty Break 5","Price Level B, Qty Break 5","Price Level C, Qty Break 5","Price Level D, Qty Break 5","Price Level E, Qty Break 5","Price Level F, Qty Break 5",Inactive Item,Standard Cost,Default Ship/Sell Location,Default Recvd/Auto Location
PPB0059,MP.PBWS01 White Paper Bag,B,S,I,11591,41071,51081,Number 1 Paper Satchel\r\n White\r\n Number 1 Satchel\r\n200 x 100 x 40 mm,X,Bags,Foil Lined Paper Bags,NIL,REAM,500 Bags / Ream,,MPM Marketing Service,PB-WS01,GST,REAM,1,0,0,11.57,REAM,GST,,0,1,0,0,0,0,0,11.569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,8.9,,
FMT0030,MP.2403264..14x11 BLK closed,B,S,I,11591,41071,51081,Black Foam Tray 14 x 11 Closed,X,Foam Containers,Foam Plate,Containers,SLV,125/SLV x 2,,MPM Marketing Service,2403264,GST,CTN,2,0,0,35.69,SLV,GST,,0,1,0,0,0,0,0,35.69,4.15,4.15,4.15,4.15,4.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,52.8,,
CELB0078,VIT.CELB31011-CelpBag230x150mm,B,S,I,11591,41071,51081,Cellophane Bags 230 x 150mm,X,,,NIL,PAK,100/PAK,,Vital Packaging Pty Ltd,CELB31011,GST,PAK,1,0,0,13.74,PAK,GST,,0,1,0,0,0,0,0,13.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,10.16,,
CELB0079,VIT.CELB3190-CelpBags300x200mm,B,S,I,11591,41071,51081,Cellophane Bags 300 x 200mm,X,,,NIL,PAK,100/PAK,,Vital Packaging Pty Ltd,CELB3190,GST,PAK,1,0,0,21.27,PAK,GST,,0,1,0,0,0,0,0,21.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,15.73,,
CLN0025,OTS.LD-900V..Soap Dispenser,B,S,I,11591,41071,51081,Soap Dispenser,X,Cleaning tools,Others,NIL,UNIT,6/CTN,,E.D. Oates Pty Ltd,LD-900V,GST,UNIT,1,0,0,23.8,UNIT,GST,,0,1,0,0,0,0,0,23.8,9.6,9.6,9.6,9.6,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,17.6,,
VB0028,0200208.Bag Vacuum 210x400mm,B,S,I,11591,41071,51081,Bag Vacuum 210mm x 400mm,X,Bags,Vacuum Bag,NIL,SLV,100/SLV X 10,,MBL Food Services,200208,GST,CTN,10,0,0,13.91,SLV,GST,,0,1,0,0,0,0,0,13.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,102.85,,
PLA0093,"MP.CAEMPOVL.Enviro 10.5"""""""" Pl",B,S,I,11591,41071,51081,Enviro Board 10.5 Inch Oval Plate,X,Tabletops,Plate and Bowls Eco,NIL,SLV,50/SLV x 10,,MPM Marketing Service,CA-EMPOVL,GST,CTN,10,0,0,10.2,SLV,GST,,0,1,0,0,0,0,0,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,75.44,,
WINE0062,FP.0568 Wine Goblet - 175ml,B,S,I,11591,41071,51081,Wine Goblet 175ml,X,Cups,Plastic Clear Cold Cups,NIL,SLV,10/SLV x 25,,FPA,C-DC0568,GST,CTN,25,0,0,2.34,SLV,GST,,0,1,0,0,0,0,0,2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,43.23,,
TP0060,PREMIUM 2PLY TOILET PAPER ,B,S,I,11591,41071,51081,PREMIUM 2PLY TOILET PAPER 400SHEETS,X,Janitorial and Washroom,,NIL,CTN,CTN48,,Alpha Cleaning Supplie Pty Ltd,TP7008,GST,CTN,1,0,0,4.83,CTN,GST,,0,1,0,0,0,0,0,4.83,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,37.15,,
PPCB0037,MP.CAPTBMFH.Paper Takeaway Bag,B,S,I,11591,41071,51081,Foodservice Takeaway Bags Medium\r\n with Flat Paper Handles  Brown Kraft\r\n 280 x 280 x 150 mm\r\nVolume: 11.7L,X,Bags,Paper Carry Bags with Handles,NIL,CTN,200 Bags / CTN,,MPM Marketing Service,CA-PTBMFH,GST,CTN,1,0,0,72.04,CTN,GST,,0,1,0,0,0,0,0,72.04,1.6,1.6,1.6,1.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,53.28,,
PPB0060,FP.FPA00910..Mini Paper Bag,B,S,I,11591,41071,51081,White Paper Bag Greaseproof Lined Chip 10oz 105x140mm,X,Bags,Standard Paper Bags,NIL,REAM,500 Bags / Ream,,,FPA00910,GST,REAM,1,0,0,23.8,,GST,,0,1,0,0,0,0,0,23.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,17.6,,
